ts_s,pid,rss_mb,peak_rss_mb,private_mb,peak_private_mb
0.0,20832,1442.5,1442.5,1478.7,1478.7
2.0,20832,1442.5,1442.5,1478.7,1478.7
4.0,20832,1442.5,1442.5,1478.7,1478.7
6.0,20832,1477.4,1477.4,1512.9,1512.9
8.0,20832,1502.7,1502.7,1536.9,1536.9
10.0,20832,1526.9,1526.9,1561.9,1561.9
12.2,20832,1558.6,1558.6,1594.3,1594.3
14.2,20832,1550.4,1558.6,1584.7,1594.3
16.3,20832,1556.1,1558.6,1593.5,1594.3
18.3,20832,1580.2,1580.2,1615.1,1615.1
20.3,20832,1534.2,1580.2,1569.4,1615.1
22.3,20832,1580.9,1580.9,1618.5,1618.5
24.4,20832,1580.8,1580.9,1616.8,1618.5
26.4,20832,1523.2,1580.9,1558.1,1618.5
28.4,20832,1565.1,1580.9,1601.3,1618.5
30.4,20832,1564.9,1580.9,1600.2,1618.5
32.4,20832,1524.1,1580.9,1564.2,1618.5
34.4,20832,1531.3,1580.9,1570.9,1618.5
36.4,20832,1510.1,1580.9,1546.7,1618.5
38.5,20832,1541.5,1580.9,1577.2,1618.5
40.5,20832,1545.7,1580.9,1580.6,1618.5
42.5,20832,1547.4,1580.9,1584.3,1618.5
44.5,20832,1547.9,1580.9,1584.8,1618.5
46.5,20832,1225.6,1580.9,1260.7,1618.5
48.5,20832,1226.7,1580.9,1261.8,1618.5
50.5,20832,1228.9,1580.9,1264.0,1618.5
52.5,20832,1230.0,1580.9,1264.7,1618.5
54.5,20832,1230.5,1580.9,1265.2,1618.5
56.5,20832,1233.4,1580.9,1268.1,1618.5
58.6,20832,1234.5,1580.9,1268.7,1618.5
60.6,20832,1234.9,1580.9,1268.9,1618.5
62.6,20832,1235.0,1580.9,1269.1,1618.5
64.6,20832,1235.1,1580.9,1269.2,1618.5
66.6,20832,1179.6,1580.9,1212.7,1618.5
68.6,20832,1209.9,1580.9,1243.8,1618.5
70.6,20832,1212.8,1580.9,1246.6,1618.5
72.6,20832,1218.0,1580.9,1251.8,1618.5
74.6,20832,1220.6,1580.9,1254.3,1618.5
76.6,20832,1225.7,1580.9,1259.3,1618.5
78.7,20832,1230.4,1580.9,1264.4,1618.5
80.7,20832,1228.0,1580.9,1261.9,1618.5
82.7,20832,1234.4,1580.9,1267.9,1618.5
84.7,20832,1233.2,1580.9,1266.0,1618.5
86.7,20832,1233.3,1580.9,1266.1,1618.5
88.7,20832,1233.7,1580.9,1266.4,1618.5
90.7,20832,1235.2,1580.9,1267.9,1618.5
92.7,20832,1236.1,1580.9,1268.7,1618.5
94.7,20832,1236.7,1580.9,1269.2,1618.5
96.7,20832,1236.7,1580.9,1269.2,1618.5
98.7,20832,1236.7,1580.9,1269.2,1618.5
100.8,20832,1236.7,1580.9,1269.2,1618.5
102.8,20832,1236.8,1580.9,1269.2,1618.5
104.8,20832,1236.9,1580.9,1269.3,1618.5
106.8,20832,1236.9,1580.9,1269.3,1618.5
108.8,20832,1236.9,1580.9,1269.3,1618.5
110.8,20832,1236.9,1580.9,1269.3,1618.5
112.8,20832,1237.0,1580.9,1269.4,1618.5
114.8,20832,1237.0,1580.9,1269.4,1618.5
116.8,20832,1237.2,1580.9,1269.6,1618.5
118.8,20832,1237.3,1580.9,1269.7,1618.5
120.8,20832,1237.3,1580.9,1269.7,1618.5
122.9,20832,1237.3,1580.9,1269.8,1618.5
