pid=11800  "D:\code\Java\zulu17.52.17-ca-jdk17.0.12-win_x64\\bin\java.exe" -Xrs -Xmx256m -D
pid=28664  "java.exe"  -Xms8m -Xmx32m     -Djava.awt.headless=true     --add-exports=java.b
pid=27684  D:\code\Java\jdk-25.0.1\bin\java -Xms4m -Xmx64m -XX:+UseSerialGC -Dcli.name=serv
pid=30600  D:\code\Java\jdk-25.0.1\bin\java.exe -Des.networkaddress.cache.ttl=60 -Des.netwo
pid=13628  D:\code\Java\jdk-25.0.1\bin\java -Djava.awt.headless=true -Dfile.encoding=UTF-8 
pid=23348  D:\code\Java\jdk-25.0.1\bin\java -Djava.awt.headless=true -Dfile.encoding=UTF-8 
pid=34276  D:\code\Java\jdk-25.0.1\bin\java -DSTORAGE_PATH=D:/code/sonar/mcp-server/storage
pid=30632  D:\code\Java\jdk-25.0.1\bin\java -DSTORAGE_PATH=D:/code/sonar/mcp-server/storage
pid=39028  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=26080  "java.exe"   -XX:+HeapDumpOnOutOfMemoryError -Xms1g -Xmx1g -XX:MaxMetaspaceSize=
pid=41440  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=36668  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=37960  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=29520  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=5776  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=23256  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=23236  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=21888  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=27276  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=29888  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=14948  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=39116  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
pid=24272  D:\code\otherProjects\18_comparePakage\prototype\toolchain\zulu21.52.15-ca-jdk21
